	CC5CD1	CC5CD2	CC5CD3	CC5CD4	CRB5F1	CRB5F2	CRB5F3	CRB5F4	CRB5XFD1	CRB5XFD2	CRB5XFD3	CRB5XFD4	CRB6XFD1	CRB6XFD2	CRB6XFD3	CRB6XFD4	CRB6ZFD1	CRB6ZFD2	CRB6ZFD3	CRB6ZFD4	DC74D1	DC74D2	DC74D3	DC74D4	DC75D1	DC75D2	DC75D3	DC75D4	DC8D1	DC8D2	DC8D3	DC8D4	DCCD1	DCCD2	DCCD3	DCCD4	DCRCD11	DCRCD12	DCRCD13	DCRCD14	DRB7D11	DRB7D12	DRB7D13	DRB7D14	DRB7D21	DRB7D22	DRB7D23	DRB7D24	DRB7D31	DRB7D32	DRB7D33	DRB7D34	DRB7F1	DRB7F2	DRB7F3	DRB7F4	DRB8D41	DRB8D42	DRB8D43	DRB8D44	DRB8D51	DRB8D52	DRB8D53	DRB8D54	ZAN1	ZAN3	ZAS1	ZAS2	ZAS3	ZBN1	ZBN2	ZBN3	ZBS1	ZBS2	ZBS3	ZCN1	ZCN2	ZCN3	ZCS1	ZCS2	ZCS3	ZDN1	ZDN2	ZDN3	ZDS1	ZDS2	ZDS3	ZEN1	ZEN2	ZEN3	ZES1	ZES2	ZES3	ZFN1	ZFN2	ZFN3	ZFS2	ZFS3	ZGN1	ZGN2	ZGN3	ZGS1	ZGS2	ZGS3	ZHN1	ZHN2	ZHN3	ZHS1	ZHS2	ZHS3	ZIN1	ZIN2	ZIN3	ZIS1	ZIS2	ZIS3	ZJN1	ZJN2	ZJN3	ZJS1	ZJS2	ZJS3	ZKN1	ZKN2	ZKN3	ZKS1	ZKS2	ZKS3
taxa_148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxa_149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	984	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxa_150	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	822	832	496	189	544	107	295	52	0	0	0	15076	848	0	0	0	0	673	3790	0	0	0	0	0	0	6314	5899	6194	6021	4282	3988	4298	2535	0	548	0	0	0	0	0	55	1856	2381	2747	1487	0	0	0	0	0	0	0	1450	1314	0	32055	0	0	691	0	0	1324	1417	0	16391	807	0	0	0	0	0	0	0	0	0	0	585	25882	0	16885	15788	110256	95669	0	0	0	0	0	4483	0	0	309	0	15976	0	0	0	0	0	2631	1923	0	0	0	0	0	1754	0	0	0	0	4899	1821
taxa_151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	302618	1030841	530225	1785728	1322685	50716	373934	200387	658269	386894	65851	4557337	241706	895776	63138	236086	3678011	57536	569259	673275	114230	344072	567573	643056	256585	495010	25748773	5712144	9116184	79880	59457	48118	196722	67988	66138	50423	157175	828007	1878831	1452755	330865	343818	355100	10822914	6398749	472920	6801	410033	57057	332490	7867484	6011646	30586	2456881	27977	1305775	24855	1423380	12315	5757	4390	241524	530654	100678
taxa_152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1321	0	0	0	0	45313	12283	15113	868	1105	67575	0	0	0	0	0	0	24641	1217	9738	919	0	0	0	0	0	0	0	0	0	0	0	0	0	25443	208112	124146	1052	0	99	0	43344	4222	0	2039	0	0	0	0	0	0	0	0	0	0	0	0	0
taxa_153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31955	54111	9974	115974	34715	4701	44267	15728	162448	20241	2785	298250	64613	79927	12661	5464	665648	464	615	12844	1748	3662	0	118563	26990	55546	476978	53380	39047	0	3568	25693	0	0	753	639	3346	108	0	2633	40420	85196	306475	1059271	580836	12936	994	75762	10102	16143	143573	133250	0	182	0	881	0	0	850	0	0	3675	0	0
taxa_154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41584	0	27419	4370	38344	75952	8735950	1197697	355827	687412	0	2169	0	130831	413114	0	610369	38229	30720	12037	609222	0	0	0	0	0	0	0	0	0	0	0	40895	15589	65430	3292304	3989447	6772627	0	0	0	5587	2888	23727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxa_155	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1037	0	0	0	0	0	0	0	0	0	0	0	0	566	2922	280	0	0	0	0	0	0	0	0	15744	596	0	0	0	0	16176	10807	5178	0	4054	143	0	1898	409	0	0	0	0	0	0	0	0	0	0	0	0
taxa_156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0
taxa_157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
